ranking,name,Sales,YOY_Sales,Units,YOY_Units,segment_category
1,"McDonald's",40412,4.9,13846,-0.5,"Quick Service & Burger"
2,Starbucks,21380,8.6,15049,3,"Quick Service & Coffee Cafe"
3,Chick-fil-A,11320,13,2470,5,"Quick Service & Chicken"
4,"Taco Bell",11293,9,6766,2.7,"Quick Service & Mexican"
5,"Burger King",10204,2.7,7346,0.2,"Quick Service & Burger"
6,Subway,10200,-2,23801,-4,"Quick Service & Sandwich"
7,"Wendy's",9762,4.2,5852,0.7,"Quick Service & Burger"
8,"Dunkin'",9228,5,9630,2.2,"Quick Service & Coffee Cafe"
9,"Domino's",7044,6.9,6126,4.3,"Quick Service & Pizza"
10,"Panera Bread",5890,4,2160,3.2,"Fast Casual & Bakery Cafe"
11,"Pizza Hut",5558,0.6,7306,-2.4,"Quick Service & Pizza"
12,"Chipotle Mexican Grill",5509,14.8,2584,5.3,"Fast Casual & Mexican"
13,"Sonic Drive-In",4687,4.6,3526,-2.1,"Quick Service & Burger"
14,KFC,4546,2.5,4065,-0.2,"Quick Service & Chicken"
15,"Olive Garden",4287,5,866,1.3,"Casual Dining & Italian/Pizza"
16,"Applebee's",4085,-3,1665,-1.7,"Casual Dining & Varied Menu"
17,"Panda Express",3946,12,2209,4.9,"Fast Casual & Asian/Noodle"
18,"Arby's",3884,1.9,3359,0.9,"Quick Service & Sandwich"
19,"Popeyes Louisiana Kitchen",3812,18.3,2476,5.5,"Quick Service & Chicken"
20,"Little Caesars",3811,2.7,4237,-0.6,"Quick Service & Pizza"
21,"Dairy Queen",3760,2.9,4381,-0.6,"Quick Service & Frozen Desserts"
22,"Buffalo Wild Wings",3669,-0.1,1206,-0.2,"Casual Dining & Sports Bar"
23,"Chili's Grill & Bar",3563,2.2,1242,-0.7,"Casual Dining & Varied Menu"
24,"Jack in the Box",3504,1.1,2243,0.3,"Quick Service & Burger"
25,IHOP,3266,2,1710,0.3,"Family Dining & Family Style"
26,"Texas Roadhouse",3016,11,553,3.8,"Casual Dining & Steak"
27,"Denny's",2691,1.1,1558,-1.5,"Family Dining & Family Style"
28,"Papa John's",2638,-2.7,3142,-1.8,"Quick Service & Pizza"
29,"Outback Steakhouse",2635,0.9,724,-1.2,"Casual Dining & Steak"
30,Whataburger,2556,5.8,830,0.6,"Quick Service & Burger"
31,"Red Lobster",2490,1.6,679,0.1,"Casual Dining & Seafood"
32,"Cracker Barrel",2482,1.8,660,0.8,"Family Dining & Family Style"
33,"The Cheesecake Factory",2180,2.5,206,2.5,"Casual Dining & Varied Menu"
34,"Jimmy John's Gourmet Sandwiches",2105,-1.6,2787,-0.5,"Fast Casual & Sandwich"
35,"Hardee's",2020,-4,1820,-1.4,"Quick Service & Burger"
36,"Zaxby's",1886,6,910,1.3,"Fast Casual & Chicken"
37,"LongHorn Steakhouse",1867,6.3,530,1.9,"Casual Dining & Steak"
38,"Culver's",1795,13.9,732,6.7,"Quick Service & Burger"
39,"Golden Corral",1746,0.8,483,-1.2,"Quick Service & Family Casual"
40,"Five Guys Burgers and Fries",1661,7.4,1368,0.7,"Fast Casual & Burger"
41,"Red Robin Gourmet Burgers and Brews",1548,-0.3,556,-3,"Casual Dining & Varied Menu"
42,"Raising Cane's Chicken Fingers",1466,23.8,457,14.3,"Fast Casual & Chicken"
43,"Carl's Jr.",1423,-2.5,1095,-2.3,"Quick Service & Burger"
44,Wingstop,1363,19,1231,9.5,"Fast Casual & Chicken"
45,"Waffle House",1344,3.4,1959,1.2,"Family Dining & Family Style"
46,"Jersey Mike's Subs",1340,16.7,1667,11.6,"Fast Casual & Sandwich"
47,"Bojangles'",1331,2.7,746,-1.3,"Quick Service & Chicken"
48,"BJ's Restaurant & Brewhouse",1161,4,208,3,"Casual Dining & Varied Menu"
49,"TGI Fridays",1085,-8.5,385,-7.9,"Casual Dining & Varied Menu"
50,"In-N-Out Burger",957,4.6,351,3.5,"Quick Service & Burger"
51,"Steak 'n Shake",950,-7.7,576,-3,"Quick Service & Burger"
52,"P.F. Chang's",917,1.4,221,0,"Casual Dining & Asian"
